名称,英文名称,星级,Id,类型,耐久,炮击,雷击,防空,航空,装填,反潜,命中,机动,耐久(增长),炮击(增长),雷击(增长),防空(增长),航空(增长),装填(增长),反潜(增长),命中(增长),机动(增长)
泛用型布里,UNIV Universal Bulin,4,100001,1,100,10,10,10,10,50,0,50,50,1000,100,100,100,100,500,0,500,500
试作型布里MKII,UNIV Trial Bulin MKII,5,100011,1,100,10,10,10,10,50,0,50,50,1000,100,100,100,100,500,0,500,500
特装型布里MKIII,UNIV Specialized Bulin Custom MKIII,6,100021,1,100,10,10,10,10,50,0,50,50,1000,100,100,100,100,500,0,500,500
杜威,USS Dewey,2,101021,1,265,14,52,34,0,69,0,63,60,7564,191,702,753,0,482,0,975,1115
杜威,USS Dewey,3,101022,1,330,17,65,42,0,69,0,63,60,7564,191,702,753,0,482,0,975,1115
杜威,USS Dewey,4,101023,1,459,24,90,59,0,69,0,63,60,7564,191,702,753,0,482,0,975,1115
杜威,USS Dewey,5,101024,1,654,34,129,85,0,69,0,63,60,7564,191,702,753,0,482,0,975,1115
卡辛,USS Cassin,1,101031,1,280,14,53,31,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
卡辛,USS Cassin,2,101032,1,348,18,66,39,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
卡辛,USS Cassin,3,101033,1,485,25,92,54,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
卡辛,USS Cassin,4,101034,1,689,35,131,77,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
唐斯,USS Downes,1,101041,1,280,14,53,31,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
唐斯,USS Downes,2,101042,1,348,18,66,39,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
唐斯,USS Downes,3,101043,1,485,25,92,54,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
唐斯,USS Downes,4,101044,1,689,35,131,77,0,70,0,67,60,7967,195,711,686,0,487,0,1026,1115
格里德利,USS Gridley,2,101051,1,292,14,84,32,0,74,0,71,60,8311,188,1026,709,0,513,0,1088,1121
格里德利,USS Gridley,3,101052,1,363,17,105,40,0,74,0,71,60,8311,188,1026,709,0,513,0,1088,1121
格里德利,USS Gridley,4,101053,1,505,24,146,56,0,74,0,71,60,8311,188,1026,709,0,513,0,1088,1121
格里德利,USS Gridley,5,101054,1,719,34,209,80,0,74,0,71,60,8311,188,1026,709,0,513,0,1088,1121
克雷文,USS Craven,1,101061,1,286,13,82,32,0,72,0,71,60,8148,185,1011,696,0,503,0,1088,1121
克雷文,USS Craven,2,101062,1,356,16,102,40,0,72,0,71,60,8148,185,1011,696,0,503,0,1088,1121
克雷文,USS Craven,3,101063,1,495,23,143,55,0,72,0,71,60,8148,185,1011,696,0,503,0,1088,1121
克雷文,USS Craven,4,101064,1,705,33,204,79,0,72,0,71,60,8148,185,1011,696,0,503,0,1088,1121
麦考尔,USS McCall,1,101071,1,278,13,82,32,0,72,0,71,60,7914,185,1011,696,0,503,0,1088,1115
麦考尔,USS McCall,2,101072,1,346,16,102,40,0,72,0,71,60,7914,185,1011,696,0,503,0,1088,1115
麦考尔,USS McCall,3,101073,1,481,23,143,55,0,72,0,71,60,7914,185,1011,696,0,503,0,1088,1115
麦考尔,USS McCall,4,101074,1,685,33,204,79,0,72,0,71,60,7914,185,1011,696,0,503,0,1088,1115
莫里,USS Maury,2,101081,1,292,14,86,33,0,76,0,71,73,8305,193,1046,727,0,529,0,1088,1360
莫里,USS Maury,3,101082,1,363,17,107,41,0,76,0,71,73,8305,193,1046,727,0,529,0,1088,1360
